TIME_PERIOD,UA_Actual,PDM_Angles,PDM_Distance,Granger,Lagged_Correlation,Multivariate_Regression,Transfer_Entropy,Linear_Pooling,Median_Pooling
2004-11-01,11.32158260452638,1.5,1.5,2.207033113346432,2.2223068507471235,2.169086269120341,2.3804493038872483,2.218181818181818,2.3
2004-12-01,12.308670529098542,2.2,2.2,2.1746214421510897,2.199049905776238,2.155392809375874,2.3631337562088213,2.1909090909090905,2.3
2005-01-01,12.640944702261603,1.65,1.65,2.0404943279941277,2.0255805063431276,1.9404944311266814,2.1564234265240056,2.0272727272727273,2.0
2005-02-01,13.314097758251187,2.0363636363636366,2.0363636363636366,2.050368728640398,2.0416848428638508,1.9848806192506177,2.1798430299082296,2.036363636363636,2.1
2005-03-01,14.668449524286054,2.5500000000000007,2.5500000000000007,2.21564622804739,2.185879854393573,2.1564888478135167,2.3137703971478456,2.1818181818181817,2.2
2005-04-01,14.668449524286075,2.1545454545454548,2.1545454545454548,2.194632427972121,2.152172563611345,2.1174995389018276,2.283564284477537,2.1545454545454543,2.1
2005-05-01,14.554578174212264,1.5,1.5,1.9711716519199816,1.954483899788923,1.9078269472747234,2.0821261360518832,1.954545454545454,1.9
2005-06-01,14.440819903930047,3.2,3.2,2.012645612484811,1.9874448865595924,1.947065987977643,2.071248781272099,1.9909090909090907,2.0
2005-07-01,14.784142363641827,2.6709926785767304,2.671739130434783,2.237180300526467,2.2157602095255733,2.1535431862981027,2.32735581393405,2.218181818181818,2.1
2005-08-01,14.899041405046853,3.3,3.3,2.309003921357951,2.283100766810592,2.229936586837502,2.410024319957257,2.2818181818181813,2.1
2005-09-01,13.87822070154694,3.0924467072077135,3.093103448275862,2.580689297459594,2.592134033565956,2.544485329842147,2.730212901862871,2.590909090909091,2.6
2005-10-01,12.429671905930363,1.5,1.5,2.3547948909591487,2.3762710868278623,2.317683635087593,2.5150467657999376,2.3727272727272726,2.4
2005-11-01,11.987035402363787,1.25,1.25,2.2352702520942627,2.241784751787406,2.186767642557744,2.3713203932674998,2.236363636363636,2.3
2005-12-01,10.346600313461952,2.5,2.5,2.2797402507963467,2.2587950209052368,2.198714570400753,2.389080242678497,2.254545454545454,2.0
2006-01-01,9.804089987437049,2.7,2.7,2.3584728868318687,2.352990816691608,2.3193173957457742,2.534174669416169,2.3454545454545452,2.2
2006-02-01,10.673825353674204,2.4,2.4,2.396256817864689,2.405519036307101,2.361047786805605,2.5751807140438423,2.3999999999999995,2.2
2006-03-01,8.604137674816116,2.2,2.2,2.315178055599057,2.3333727679488576,2.2735489267559457,2.5095139194101996,2.3272727272727267,2.1
2006-04-01,7.417796548278877,3.4539102422254944,3.4542789757412398,2.582894568933918,2.5859625761590377,2.532045585414786,2.725550120684237,2.5818181818181816,2.4
2006-05-01,7.311019414533093,2.6545454545454548,2.6545454545454548,2.652668911603251,2.6574079253101273,2.6168224038277748,2.8082539889633775,2.654545454545454,2.3
2006-06-01,6.777664447263976,2.0716029868588857,2.0716417910447764,2.558484742406323,2.5590856228785785,2.5142776191914558,2.716730788245221,2.5545454545454547,2.4
2006-07-01,7.416414184735176,2.08,2.08,2.540874900734129,2.5463979150993916,2.488679471720733,2.7001099657813907,2.545454545454545,2.4
2006-08-01,7.416414184735176,1.875646065005147,1.8757095709570955,2.4349260999502835,2.434669510550475,2.378230349946326,2.548501268893419,2.4363636363636365,2.3
2006-09-01,9.128229550228962,1.7,1.7,2.0051704187570127,1.9747053703502164,1.9083113774245601,2.0877105129452627,1.9727272727272724,1.9
2006-10-01,10.966861762670854,1.1960888760095023,1.1960238568588468,1.8219286331185747,1.806752319786605,1.7403046831340148,1.8872860480452325,1.8090909090909086,1.7
2006-11-01,11.624768057706468,2.553639567714635,2.553741680644986,2.020505713561448,2.015459206681699,1.9629276600430456,2.089515633414013,2.018181818181818,2.0
2006-12-01,11.624768057706468,2.95,2.95,2.0933873166676427,2.1047195322472123,2.0433952167222493,2.166514915054849,2.109090909090909,2.1
