date,AT,BE,DE,ES,FI,FR,GR,IE,IT,NL,PT,UA
2003-08-01,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.33971344871049175,0.0,0.0,0.3397134487104921,0.0,0.0,0.0,0.3205731025790163,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
2003-12-01,0.30900849082576193,0.0,0.0,0.0,0.19499155579045935,0.18699146255801682,0.0,0.0,0.0,0.0,0.30900849082576193,0.0
2004-01-01,0.16841155389479273,0.12958189421255936,0.23560154989050316,0.0,0.0,0.1295818942125595,0.0,0.0,0.0,0.1684115538947926,0.1684115538947928,0.0
2004-02-01,0.0,0.0,0.0,0.2202025286646479,0.0,0.0,0.0,0.33939241400605663,0.0,0.22020252866464776,0.22020252866464776,0.0
2004-03-01,0.2734361540242527,0.0,0.0,0.0,0.0,0.4689231359986438,0.0,0.0,0.0,0.25764070997710337,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.18448515521670708,0.0,0.23986642240750325,0.0,0.23986642240750325,0.33578199996828634
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.31869442918386176,0.0,0.34065278540806965,0.34065278540806854,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.3987501475119417,0.0,0.0,0.2024997049761167,0.0,0.3987501475119417,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.3319179741915268,0.0,0.0,0.0,0.0,0.16808202580847326,0.0,0.0,0.16808202580847326,0.3319179741915268,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,0.2168535195163777,0.3915732402418111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915732402418111,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.30870769202781445,0.0,0.0,0.0,0.0,0.45114195088359665,0.24015035708858884,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.16103698197741564,0.0,0.0,0.13458778009621375,0.0,0.19969189767737716,0.14395446059420092,0.16103698197741562,0.19969189767737702,0.0
2005-11-01,0.0,0.16972432082821223,0.16360901250512117,0.0,0.16972432082821212,0.0,0.0,0.0,0.163609012505121,0.16972432082821237,0.16360901250512117,0.0
