date,PDM_angles,PDM_distance,Granger,Lagged_correlation,Multivariate_regression,Transfer_entropy,Linear_pooling,Median_pooling
2005-02-01,2.0363636363636366,2.0363636363636366,2.0503687286403984,2.0416848428638508,1.984880619250617,2.1798430299082296,2.0363636363636366,2.1
2005-03-01,2.5500000000000007,2.5500000000000007,2.215646228047391,2.1858798543935727,2.156488847813516,2.3137703971478456,2.181818181818182,2.2
2005-04-01,2.1545454545454548,2.1545454545454548,2.1946324279721243,2.1521725636113445,2.1174995389018267,2.283564284477537,2.1545454545454548,2.1
2005-05-01,1.5,1.5,1.9711716519199831,1.954483899788923,1.907826947274723,2.0821261360518832,1.9545454545454544,1.9
2005-06-01,3.2,3.2,2.0126456124848118,1.9874448865595922,1.9470659879776426,2.071248781272099,1.9909090909090912,2.0
2005-07-01,2.6709926785767304,2.671739130434783,2.2371803005264685,2.2157602095255733,2.1535431862981023,2.32735581393405,2.2181818181818183,2.1
2005-08-01,3.3,3.3,2.3090039213579523,2.283100766810592,2.2299365868375016,2.410024319957257,2.281818181818182,2.1
2005-09-01,3.0924467072077135,3.093103448275862,2.580689297459593,2.5921340335659555,2.5444853298421464,2.730212901862871,2.5909090909090913,2.6
2005-10-01,1.5,1.5,2.354794890959148,2.3762710868278623,2.3176836350875925,2.5150467657999376,2.3727272727272726,2.4
2005-11-01,1.25,1.25,2.2352702520942622,2.2417847517874057,2.1867676425577436,2.3713203932674998,2.2363636363636363,2.3
2005-12-01,2.5,2.5,2.2797402507963467,2.2587950209052368,2.1987145704007522,2.389080242678497,2.254545454545455,2.0
2006-01-01,2.7,2.7,2.358472886831869,2.352990816691607,2.319317395745774,2.534174669416169,2.3454545454545452,2.2
2006-02-01,2.4,2.4,2.39625681786469,2.4055190363071004,2.361047786805605,2.5751807140438423,2.4000000000000004,2.2
2006-03-01,2.2,2.2,2.315178055599058,2.3333727679488567,2.2735489267559457,2.5095139194101996,2.327272727272727,2.1
2006-04-01,3.4539102422254944,3.4542789757412398,2.5828945689339196,2.585962576159037,2.532045585414786,2.725550120684237,2.5818181818181816,2.4
2006-05-01,2.6545454545454548,2.6545454545454548,2.6526689116032527,2.657407925310127,2.616822403827774,2.8082539889633775,2.6545454545454543,2.3
2006-06-01,2.0716029868588857,2.0716417910447764,2.558484742406325,2.5590856228785777,2.5142776191914553,2.716730788245221,2.5545454545454547,2.4
2006-07-01,2.08,2.08,2.540874900734131,2.546397915099391,2.4886794717207326,2.7001099657813907,2.545454545454545,2.4
2006-08-01,1.8756460650051472,1.8757095709570955,2.4349260999502857,2.434669510550475,2.3782303499463255,2.548501268893419,2.4363636363636365,2.3
2006-09-01,1.7,1.7,2.0051704187570176,1.9747053703502164,1.90831137742456,2.0877105129452627,1.9727272727272729,1.9
2006-10-01,1.1960888760095023,1.1960238568588468,1.8219286331185773,1.8067523197866053,1.7403046831340143,1.8872860480452325,1.8090909090909089,1.7
2006-11-01,2.553639567714635,2.553741680644987,2.02050571356145,2.015459206681699,1.962927660043045,2.089515633414013,2.0181818181818185,2.0
2006-12-01,2.95,2.95,2.0933873166676453,2.104719532247212,2.0433952167222484,2.166514915054849,2.1090909090909093,2.1
2007-01-01,1.5000000000000004,1.5,1.9489684721291378,1.9868331671368253,1.9329448604249537,2.041810996784532,1.990909090909091,1.7
2007-02-01,1.7,1.7,1.9369860598687225,1.9704447751713816,1.9079531608589573,2.002101931827468,1.9727272727272729,1.9
2007-03-01,2.2940367548786704,2.2939698492462313,2.0559294679943685,2.096080743562995,2.033218650771101,2.080124414129807,2.1,2.0
2007-04-01,1.85,1.85,2.044234923654419,2.0899731012121485,2.033567611894979,2.095552192459377,2.090909090909091,1.9
2007-05-01,1.7589885140730999,1.7590759075907592,1.9308814946141832,1.9716617883516525,1.911999132721973,1.9608085101822819,1.9727272727272729,2.0
2007-06-01,2.35,2.35,1.945985610893458,1.9896047679881326,1.9373086309048884,1.9918830359744684,1.990909090909091,2.0
2007-07-01,1.3,1.3,1.8773390234853276,1.9232243481927707,1.8799995215818015,1.93280172688823,1.9272727272727275,2.0
2007-08-01,1.479105829582129,1.478846153846154,1.7040634473879488,1.7422976592711743,1.707222504593903,1.787299545072589,1.7454545454545456,1.7
2007-09-01,2.407140872743929,2.406172839506173,2.0267256696535325,2.0874317677812138,2.0568037801537735,2.1339234583705307,2.090909090909091,2.0
2007-10-01,2.8576134873194334,2.858064516129032,2.4807608133858814,2.5092466926530697,2.4840287464105346,2.5890817326135775,2.509090909090909,2.5
2007-11-01,3.2,3.2,2.943025740197849,2.9801824092501836,2.952533815461531,3.086388775265813,2.9818181818181815,2.9
2007-12-01,3.9,3.9,2.979092801350462,2.9914759336269348,2.9698709829199625,3.133775818691795,2.990909090909091,3.1
2008-01-01,3.8075858318330438,3.8072669826224335,3.248388317625175,3.2250954413312822,3.2385854600649875,3.362226747946203,3.2272727272727275,3.2
2008-02-01,3.3,3.3,3.3429256398298146,3.32074494740365,3.312907328479206,3.4546249070442054,3.327272727272727,3.2
2008-03-01,4.509228009343996,4.509126466753585,3.6282453051491537,3.613664404433795,3.6167069583010623,3.747113198147945,3.618181818181818,3.6
2008-04-01,2.9878118891258727,2.987365831595901,3.3440074134449747,3.300519991446975,3.3045828982212697,3.4279791100845114,3.3090909090909095,3.4
2008-05-01,4.080038768162712,4.077627118644067,3.851168431452443,3.799157175908236,3.80423181737374,3.9122820528539846,3.8090909090909086,3.8
2008-06-01,4.6758912900683125,4.675,4.149427508574512,4.092550403673366,4.100579780385432,4.2250653663748,4.1,4.0
